movie_title,genres,distributor_group,release_month,domestic_opening_adjusted,total_gross_adjusted,prediction
3 Idiots (2009),Comedy Drama,Small / Indie Studio,12,2405973,88113401,1.1977234379109636E8
3 Ninjas (1992),Action Comedy Family Sport,Major Studio,08,13164875,64831132,5.175364989897214E7
3 Ninjas Kick Back (1994),Action Comedy Family Sport,Small / Indie Studio,05,7525999,24969186,2.888650105866733E7
3 Strikes (2000),Comedy,Major Studio,03,6712281,17910872,2.8174317493438553E7
30 Days of Night (2007),Horror Thriller,Major Studio,10,24134041,114245810,1.183786136852882E8
30 Minutes or Less (2011),Action Comedy Crime,Major Studio,08,18589511,56706060,1.0541533508258949E8
300 (2006),Action Drama,Major Studio,03,107244189,690018666,8.33971521372295E8
3000 Miles to Graceland (2001),Action Comedy Crime Thriller,Major Studio,02,12685287,33163900,9.379328742393556E7
300: Rise of an Empire (2014),Action Drama,Major Studio,03,59677767,447307114,5.896482279686356E8
35 Up (1991),Biography Documentary Romance,Small / Indie Studio,01,30604,2063111,5.267504157817069E7
3:10 to Yuma (2007),Action Crime Drama Western,Major Studio,09,21233961,105929334,1.4745497260755292E8
40 Days and 40 Nights (2002),Comedy Romance,Mid-size Studio,03,21326890,165924158,1.0746572884413591E8
42 (2013),Biography Drama Sport,Major Studio,04,37012544,131301398,2.8549650843155026E8
47 Meters Down (2017),Horror Mystery Thriller,Small / Indie Studio,05,14340211,79597892,4.564148582493391E7
47 Meters Down: Uncaged (2019),Adventure Drama Horror Thriller,Small / Indie Studio,08,10340095,58382908,4.294336585663489E7
47 Ronin (2013),Action Drama Fantasy,Major Studio,12,13344631,204383038,1.5208824282534996E8
48 Hrs. (1982),Action Comedy Crime Drama Thriller,Major Studio,12,14205014,256376298,9.308834272032388E7
50 First Dates (2004),Comedy Drama Romance,Major Studio,02,66186193,329701566,2.977881874510399E8
50/50 (2011),Comedy Drama Romance,Mid-size Studio,09,12054620,57312997,5.3804043660518564E7
500 Days of Summer (2009),Comedy Drama Romance,Major Studio,07,1220167,88901768,6.543103445001715E7
52 Pick-Up (1986),Crime Drama Thriller,Small / Indie Studio,11,4735929,14843527,3.711633927348931E7
54 (1998),Drama Music,Mid-size Studio,08,12722971,32246822,5.3804043660518564E7
65 (2023),Action Adventure Sci-Fi Thriller,Major Studio,03,12692102,62522389,7.246663939512786E7
71: Into the Fire (2010),Action Drama War,Small / Indie Studio,06,111000,30163007,3.684385153222033E7
8 Heads in a Duffel Bag (1997),Adventure Comedy Crime Mystery,Mid-size Studio,04,3956332,7040797,2.6225149116400756E7
8 Mile (2002),Drama Music,Major Studio,11,89357626,423546160,8.17265906040716E8
8 Million Ways to Die (1986),Action Crime Drama Thriller,Small / Indie Studio,04,1745614,3735072,2.625317497446979E7
8 Seconds (1994),Biography Drama Sport Western,Major Studio,02,7129685,41527782,3.3279025448886316E7
8 Women (2002),Comedy Crime Musical Romance,Mid-size Studio,02,91535,73987074,2.987223026492376E7
80 for Brady (2023),Comedy Drama Sport,Major Studio,02,13076395,41675240,5.68583578544199E7
84 Charing Cross Road (1987),Biography Drama Romance,Major Studio,02,67227,2991364,3.2926544458825093E7
88 Minutes (2007),Crime Drama Mystery Thriller,Major Studio,04,10525750,49311368,4.9969216331051424E7
8MM (1999),Crime Drama Mystery Thriller,Major Studio,02,26839887,181944529,2.329757527247281E8
9 (2009),Action Adventure Animation Drama Fantasy Sci-Fi Thriller,Mid-size Studio,08,15704160,70809169,5.332562533079063E7
9 to 5 (1980),Comedy,Major Studio,12,15099570,393220076,9.308834272032388E7
976-EVIL (1988),Comedy Horror,Major Studio,03,2009238,7479564,3.4688726240274176E7
9½ Weeks (1986),Drama Romance,Major Studio,02,940996,19290375,5.011413958299071E7
A Bad Moms Christmas (2017),Comedy,Mid-size Studio,11,21447378,167083472,1.1832889314315546E8
A Beautiful Day in the Neighborhood (2019),Biography Drama Family,Major Studio,11,16259019,83343594,1.2138320733705679E8
A Beautiful Mind (2001),Biography Drama Mystery,Major Studio,12,650430,561214488,3.495659095787862E8
A Beautiful Planet (2016),Documentary,Small / Indie Studio,04,292743,34354552,3.657388036173855E7
A Brief History of Time (1991),Biography Documentary,Small / Indie Studio,08,187841,5096327,2.6151266515941173E7
A Bronx Tale (1993),Crime Drama,Small / Indie Studio,10,8070158,37540085,7.223124127191181E7
A Bug's Life (1998),Adventure Animation Comedy Family,Major Studio,11,560222,699040988,4.538141439028529E8
A Chorus Line (1985),Drama Music Musical,Major Studio,12,650065,41420818,8.463340829459119E7
A Christmas Carol (2009),Adventure Animation Comedy Drama Family Fantasy,Major Studio,09,43939227,475618383,3.9006136572341746E8
A Christmas Story (1983),Comedy Family,Major Studio,11,6527250,65486532,4.014262760932161E7
A Cinderella Story (2004),Comedy Family Romance,Major Studio,07,22625522,116388774,1.2583693790506367E8
A Civil Action (1998),Biography Drama,Major Studio,12,134857,109130446,4.467656815775869E7
A Complete Unknown (2024),Biography Drama Music,Mid-size Studio,12,11655553,140508652,1.3937786099576798E8
A Cool Fish (2018),Comedy Crime Drama,Small / Indie Studio,11,88928,147598490,7.835295306204045E7
A Cry in the Dark (1988),Biography Drama,Major Studio,11,4142727,18325897,4.014262760932161E7
A Cure for Wellness (2016),Drama Fantasy Horror Mystery Sci-Fi Thriller,Major Studio,02,5575754,34066696,6.621439287981775E7
A Dangerous Method (2011),Biography Drama Romance,Small / Indie Studio,09,234219,42560869,4.167858831718631E7
A Dangerous Woman (1993),Drama Romance,Small / Indie Studio,11,1477555,3251167,3.711633927348931E7
A Dog of Flanders (1999),Drama Family,Major Studio,08,1521321,4078153,3.4688726240274176E7
A Dog's Journey (2019),Adventure Comedy Drama Family Fantasy,Major Studio,05,9852763,96773356,5.260254241524896E7
A Dog's Purpose (2017),Adventure Comedy Drama Family Fantasy,Major Studio,01,23320469,262392649,1.1052004303803726E8
A Dog's Way Home (2019),Adventure Drama Family,Major Studio,01,13805088,99027359,6.1484647480139725E7
A Dry White Season (1989),Drama Thriller,Major Studio,09,512418,9531599,5.011413958299071E7
A Family Thing (1996),Comedy Drama,Major Studio,03,6041131,20250188,2.927946331030209E7
A Far Off Place (1993),Adventure Drama Family Romance,Major Studio,03,7649719,27991832,4.2322162176812686E7
A Few Good Men (1992),Drama Thriller,Major Studio,12,34689813,543771461,4.2050623696052474E8
A Fine Mess (1986),Action Comedy Crime Romance,Major Studio,08,7499990,17256596,3.3279025448886316E7
A Fish Called Wanda (1988),Comedy Crime,Major Studio,07,306151,165767398,6.543103445001715E7
A Fish Tale (2000),Adventure Animation Comedy Drama Family Fantasy Musical Sci-Fi,Small / Indie Studio,04,102088,9912453,1.938628523757294E7
A Good Day to Die Hard (2013),Action Thriller,Major Studio,02,33441117,410229097,2.078892480351117E8
A Good Man in Africa (1994),Comedy,Small / Indie Studio,09,2422970,4885103,2.625317497446979E7
A Good Year (2006),Comedy Drama Romance,Major Studio,10,5790989,65775347,2.927946331030209E7
A Goofy Movie (1995),Adventure Animation Comedy Drama Family Musical Romance,Major Studio,04,12618327,72778900,5.175364989897214E7
A Guy Thing (2003),Comedy Romance,Major Studio,01,11917268,29725458,5.68583578544199E7
A Handful of Dust (1988),Drama Romance,Major Studio,06,94086,4139827,4.527940279802472E7
A Haunted House (2013),Comedy Fantasy Horror,Mid-size Studio,01,24374642,81007297,1.0236102088868816E8
A Haunted House 2 (2014),Comedy Fantasy Horror,Mid-size Studio,04,11718489,33601316,4.3669557695109986E7
A Haunting in Venice (2023),Crime Drama Horror Mystery Thriller,Major Studio,09,14700838,125898566,6.1484647480139725E7
A History of Violence (2005),Action Crime Drama Thriller,Major Studio,09,584685,98601470,5.011413958299071E7
A Home of Our Own (1993),Biography Drama,Small / Indie Studio,11,1755474,3643301,3.711633927348931E7
A Kid in King Arthur's Court (1995),Adventure Comedy Family Fantasy Romance,Major Studio,08,8883512,27599114,3.721745422136493E7
A Kiss Before Dying (1991),Crime Drama Mystery Thriller,Major Studio,04,10015243,35538428,4.9969216331051424E7
A Knight's Tale (2001),Action Adventure Drama Romance,Major Studio,05,29250908,208136348,2.5807092887721345E8
A League of Their Own (1992),Comedy Drama Sport,Major Studio,07,30715008,296074154,2.5615870563506925E8
A Life Less Ordinary (1997),Comedy Crime Fantasy Romance,Major Studio,10,3922647,8533498,2.927946331030209E7
A Little Princess (1995),Drama Family Fantasy,Major Studio,05,58901,20617838,3.555987054302262E7
A Little Sex (1982),Comedy Romance,Major Studio,04,3348421,7705319,2.927946331030209E7
A Lot Like Love (2005),Comedy Drama Romance,Major Studio,04,12170113,68887986,5.68583578544199E7
A Low Down Dirty Shame (1994),Action Comedy Crime,Major Studio,11,16867634,62201360,1.2138320733705679E8
A Madea Christmas (2013),Comedy Drama Romance,Major Studio,12,21554922,71900714,2.434626843015438E8
A Madea Family Funeral (2019),Comedy Drama,Major Studio,02,33204971,91714049,2.078892480351117E8
A Man Apart (2003),Action Crime Drama Thriller,Major Studio,04,19098326,75627538,1.1052004303803726E8
A Man Called Otto (2022),Comedy Drama,Major Studio,12,60302,121510081,9.750585091453165E7
A Man Called Ove (2015),Comedy Drama Romance,Small / Indie Studio,12,72272,40665913,3.62410168919543E7
A Man of No Importance (1994),Comedy Drama,Small / Indie Studio,12,77467,1948878,4.946409368907733E7
A Midnight Clear (1992),Drama War,Small / Indie Studio,04,104931,3412982,2.4490993193020694E7
A Midsummer Night's Dream (1999),Comedy Fantasy Romance,Major Studio,05,8070333,30265473,4.495548826101022E7
A Midsummer Night's Sex Comedy (1982),Comedy,Major Studio,07,8173747,29507238,5.253434908839136E7
A Mighty Heart (2007),Biography Drama History Thriller War,Small / Indie Studio,06,5974336,28758817,3.8606033313669406E7
A Mighty Wind (2003),Comedy Music,Major Studio,04,3601637,31973063,2.7409797818843085E7
A Million Ways to Die in the West (2014),Comedy Western,Major Studio,05,22257209,115529925,1.1804494371478473E8
A Million to Juan (1994),Comedy,Small / Indie Studio,05,807254,2583593,4.431191440138385E7
A Minecraft Movie (2025),Action Adventure Comedy Family Fantasy,Major Studio,04,159429128,935642354,7.980066007813661E8
A Monster Calls (2016),Adventure Drama Family Fantasy Horror,Mid-size Studio,10,40398,61832667,2.987223026492376E7
A Month by the Lake (1995),Comedy Drama Romance,Mid-size Studio,09,208005,4325305,4.7059825389089376E7
A Most Wanted Man (2014),Crime Drama Thriller,Mid-size Studio,07,3560684,48010864,7.847697355294284E7
A New Life (1988),Comedy,Major Studio,03,6644870,20482562,3.3279025448886316E7
A Night at the Roxbury (1998),Comedy Music Romance,Major Studio,10,18483080,58369201,1.0541533508258949E8
A Night in Heaven (1983),Drama Romance,Major Studio,11,5780655,17522745,3.5037919653873846E7
A Night in the Life of Jimmy Reardon (1988),Comedy Drama Romance,Major Studio,02,7260297,16615697,3.3279025448886316E7
A Nightmare on Elm Street (1984),Horror,Major Studio,11,3838082,78085830,4.1432005346823275E7
A Nightmare on Elm Street (2010),Crime Drama Horror Mystery,Major Studio,04,47331570,166433531,3.1123165289199674E8
A Nightmare on Elm Street 2: Freddy's Revenge (1985),Horror,Major Studio,11,8356148,87482134,4.936999625788612E7
A Nightmare on Elm Street 3: Dream Warriors (1987),Fantasy Horror,Major Studio,02,24518054,123668243,1.1052004303803726E8
A Nightmare on Elm Street 4: The Dream Master (1988),Horror,Major Studio,08,34041182,130955891,1.7609552444067276E8
A Nightmare on Elm Street: The Dream Child (1989),Fantasy Horror,Major Studio,08,20534400,56094156,1.0541533508258949E8
A Passage to India (1984),Adventure Drama History,Major Studio,12,255409,99669668,1.4363330839961728E8
A Perfect Getaway (2009),Drama Mystery Thriller,Major Studio,08,8697689,33564485,4.2322162176812686E7
A Perfect Murder (1998),Crime Drama Thriller,Major Studio,06,31974604,246391974,2.236290161944746E8
A Perfect World (1993),Crime Drama Thriller,Major Studio,11,17535853,293432390,1.5831813690657243E8
A Prairie Home Companion (2006),Comedy Drama Music Romance Western,Small / Indie Studio,06,7105513,40437047,3.8606033313669406E7
A Prayer for the Dying (1987),Action Crime Drama Thriller,Small / Indie Studio,09,2434515,3955462,2.625317497446979E7
A Private Function (1984),Comedy,Small / Indie Studio,03,73875,7369362,2.4490993193020694E7
A Quiet Place (2018),Drama Horror Sci-Fi,Major Studio,04,62714967,425925953,5.536833073777065E8
A Quiet Place Part II (2020),Drama Horror Sci-Fi Thriller,Major Studio,05,55043329,344254731,3.530392438510513E8
A Quiet Place: Day One (2024),Drama Horror Sci-Fi Thriller,Major Studio,06,52202495,261907653,3.4534930078790134E8
A Rage in Harlem (1991),Comedy Crime,Mid-size Studio,05,5661760,24043280,2.8858475200598292E7
A Real Pain (2024),Comedy Drama,Mid-size Studio,11,228856,24856027,5.7922989688108906E7
A River Runs Through It (1992),Drama,Major Studio,10,666808,97112214,8.704906915250637E7
A Room with a View (1985),Drama Romance,Small / Indie Studio,03,122975,60287340,2.4490993193020694E7
A Separation (2011),Drama,Small / Indie Studio,06,82949,31971551,6.502789991737031E7
A Series of Unfortunate Events (2004),Adventure Comedy Family Fantasy,Major Studio,12,49926261,351204313,5.121611181282133E8
A Serious Man (2009),Comedy Drama,Mid-size Studio,10,367493,45957840,4.7059825389089376E7
A Shock to the System (1990),Comedy Crime Thriller,Small / Indie Studio,03,2405992,8203707,2.1148467019022025E7
A Silent Voice: The Movie (2016),Animation Drama,Small / Indie Studio,09,159102,40280616,5.944002285653892E7
A Simple Favor (2018),Comedy Crime Mystery Thriller,Major Studio,09,20002018,121978973,1.1052004303803726E8
A Simple Plan (1998),Crime Drama Thriller,Major Studio,12,751584,31398391,1.4363330839961728E8
A Simple Twist of Fate (1994),Comedy Drama,Major Studio,09,2973112,7259931,2.927946331030209E7
A Simple Wish (1997),Comedy Family Fantasy,Major Studio,07,5340625,16308003,3.949165022188075E7
A Single Man (2009),Drama Romance Thriller,Small / Indie Studio,12,317772,36502453,7.619785702878681E7
A Small Circle of Friends (1980),Drama,Major Studio,03,232609,2918638,5.011413958299071E7
A Smile Like Yours (1997),Comedy Romance,Major Studio,08,2273873,6508212,2.927946331030209E7
A Soldier's Daughter Never Cries (1998),Drama,Small / Indie Studio,09,76045,3429220,5.267504157817069E7
A Soldier's Story (1984),Crime Drama Mystery War,Major Studio,09,472235,65894670,5.011413958299071E7
A Star Is Born (2018),Drama Music Romance,Major Studio,10,53601316,545198144,3.842413917936677E8
A Stranger Among Us (1992),Crime Drama Mystery Romance,Major Studio,07,6451932,27459039,4.459635817732851E7
A Taxi Driver (2017),Action Drama History,Small / Indie Studio,08,424687,110381384,7.861351788670197E7
A Thin Line Between Love and Hate (1996),Comedy Crime Drama Romance Thriller,Major Studio,04,18620234,71197336,1.1052004303803726E8
A Thousand Acres (1997),Drama,Major Studio,09,5729282,15510145,2.927946331030209E7
A Thousand Words (2012),Comedy Drama Fantasy,Major Studio,02,8884882,31711773,4.2322162176812686E7
A Time of Destiny (1988),Drama War,Major Studio,04,1351199,3216177,5.011413958299071E7
A Time to Kill (1996),Crime Drama Thriller,Major Studio,07,29645373,304522306,2.5615870563506925E8
A Very Brady Sequel (1996),Comedy,Major Studio,08,14103640,42880137,6.1484647480139725E7
A Very Harold & Kumar Christmas (2011),Adventure Comedy,Major Studio,11,18065194,50472622,1.2138320733705679E8
A Very Long Engagement (2004),Drama Mystery Romance War,Small / Indie Studio,10,168984,115299325,5.944002285653892E7
A View to a Kill (1985),Action Adventure Thriller,Major Studio,05,31165202,146792252,2.9552483728082514E8
A Walk Among the Tombstones (2014),Action Crime Drama Mystery Thriller,Major Studio,09,16905895,77957920,1.1052004303803726E8
A Walk in the Clouds (1995),Drama Romance,Major Studio,08,19610277,102946938,1.1052004303803726E8
A Walk in the Woods (2015),Adventure Biography Comedy Drama,Mid-size Studio,09,10913727,49579053,4.877426565055774E7
A Walk on the Moon (1999),Drama Romance,Mid-size Studio,03,148218,8946059,3.6637211543291986E7
A Walk to Remember (2002),Drama Romance,Major Studio,01,21236136,82825663,1.1052004303803726E8
A Wedding Invitation (2013),Drama Romance,Small / Indie Studio,04,4286,41291703,2.4490993193020694E7
A Working Man (2025),Action Thriller,Streaming Platform,03,15193548,86301446,5.843033328623839E7
A World Apart (1988),Drama,Small / Indie Studio,06,55213,6172101,3.684385153222033E7
A Wrinkle in Time (2018),Adventure Drama Family Fantasy Sci-Fi,Major Studio,03,41378459,165740479,3.169221984386279E8
A Writer's Odyssey (2021),Action Adventure Fantasy Mystery,Mid-size Studio,01,61378,173791136,5.805627865007375E7
A.I. Artificial Intelligence (2001),Adventure Drama Sci-Fi,Major Studio,06,51999924,417958017,4.5888587663361216E8
ATL (2006),Comedy Crime Drama Music Romance,Major Studio,03,17979567,32943072,1.1052004303803726E8
Abandon (2002),Drama Mystery Romance Thriller,Major Studio,10,8831167,21453653,4.2322162176812686E7
Abduction (2011),Action Drama Mystery Thriller,Major Studio,09,15235808,114474614,6.1484647480139725E7
Abigail (2024),Action Comedy Crime Horror Thriller,Major Studio,04,10297110,42791449,4.9969216331051424E7
Abominable (2019),Adventure Animation Comedy Family Fantasy,Major Studio,09,25290658,233500367,2.616343921066499E8
About Last Night (1986),Comedy Drama Romance,Small / Indie Studio,07,9021969,110761132,5.061320656942259E7
About Last Night (2014),Comedy Romance,Small / Indie Studio,02,33985969,66842789,2.0086339756069514E8
About My Father (2023),Comedy,Major Studio,05,4448641,18703850,3.1912789394499626E7
About Schmidt (2002),Drama,Major Studio,03,492416,184563275,8.704906915250637E7
About Time (2013),Comedy Drama Fantasy Romance Sci-Fi,Major Studio,09,1449214,117284657,7.162365580978984E7
About a Boy (2002),Comedy Drama Romance,Major Studio,04,14923521,227663212,6.1484647480139725E7
Above the Law (1988),Action Crime Drama Mystery Thriller,Major Studio,04,5405723,50052550,2.927946331030209E7
Above the Rim (1994),Crime Drama Sport Thriller,Major Studio,03,7912192,34266807,4.2322162176812686E7
Abraham Lincoln: Vampire Hunter (2012),Action Fantasy Horror,Major Studio,06,22280303,159135720,1.302421780339847E8
Absence of Malice (1981),Drama Romance Thriller,Major Studio,11,336968,140480688,6.0977303882010244E7
Absolute Beginners (1986),Drama Musical Romance,Mid-size Studio,04,239662,2662147,4.7059825389089376E7
Absolute Power (1997),Action Crime Drama Thriller,Major Studio,02,28683945,97844058,2.4084181076804283E8
Absolutely Fabulous: The Movie (2016),Comedy Crime,Major Studio,07,2432457,51258874,4.459635817732851E7
Accepted (2006),Comedy,Major Studio,08,15597881,60100853,6.1484647480139725E7
Ace Ventura: Pet Detective (1994),Comedy,Major Studio,02,25638449,226897558,1.7017099555513138E8
Ace Ventura: When Nature Calls (1995),Adventure Comedy Crime,Major Studio,11,77823603,437217600,5.64546471676726E8
Aces: Iron Eagle III (1992),Action,Major Studio,06,2107692,5628178,4.704158457947381E7
Acharya (2022),Action Drama,Small / Indie Studio,04,891816,8626797,6.2020503907279715E7
Acrimony (2018),Drama Horror Romance Thriller,Major Studio,03,21449879,57968089,1.1052004303803726E8
Across the Universe (2007),Drama Fantasy History Music Musical Romance,Small / Indie Studio,09,1010308,44821573,7.861351788670197E7
Act of Valor (2012),Action Adventure Thriller War,Small / Indie Studio,02,33442548,112719354,2.0086339756069514E8
Action Jackson (1988),Action Comedy Crime Thriller,Small / Indie Studio,02,14389482,53732543,5.445879700572319E7
Ad Astra (2019),Adventure Drama Mystery Sci-Fi Thriller,Major Studio,09,23314357,156393314,1.4745497260755292E8
Adaptation. (2002),Comedy Drama,Major Studio,12,670485,57203677,8.463340829459119E7
Addams Family Values (1993),Comedy Fantasy,Major Studio,11,30655771,106226046,2.147700454975467E8
Addicted to Love (1997),Comedy Romance,Major Studio,05,22368094,67758555,1.1804494371478473E8
Adrift (2018),Action Adventure Biography Drama Romance Thriller,Mid-size Studio,05,14494673,74884118,6.106365937043593E7
Adventures in Babysitting (1987),Adventure Comedy Crime Romance,Major Studio,07,8010103,94886877,5.763905704383912E7
Ae Dil Hai Mushkil (2016),Drama Musical Romance,Small / Indie Studio,10,2862357,41390873,6.318810454398544E7
Affliction (1997),Drama Mystery Thriller,Major Studio,12,123119,12181306,4.467656815775869E7
Afraid (2024),Horror Mystery Sci-Fi Thriller,Major Studio,08,3665664,12977758,2.4174755354854323E7
African Cats (2010),Adventure Documentary,Major Studio,04,8371761,43032661,3.721745422136493E7
After (2019),Drama Romance,Small / Indie Studio,03,7364769,85272229,2.625317497446979E7
"After Dark, My Sweet (1990)",Crime Drama Mystery Thriller,Small / Indie Studio,08,588004,6430367,4.167858831718631E7
After Death (2023),Documentary,Small / Indie Studio,10,5201005,12179923,2.625317497446979E7
After Earth (2013),Action Adventure Sci-Fi,Major Studio,05,37056840,328033322,3.276343691317444E8
After Ever Happy (2022),Drama Romance,Small / Indie Studio,08,123260,20621190,2.4490993193020694E7
After Hours (1985),Comedy Crime Drama Thriller,Major Studio,09,132495,31003957,3.2926544458825093E7
After We Collided (2020),Drama Romance,Mid-size Studio,09,512574,58166659,4.7059825389089376E7
After We Fell (2021),Drama Romance,Small / Indie Studio,09,493690,25183303,4.167858831718631E7
After the Sunset (2004),Action Comedy Crime Drama,Major Studio,11,19099084,104061556,1.2138320733705679E8
Afterglow (1997),Comedy Drama Romance,Small / Indie Studio,12,97812,4819007,3.62410168919543E7
Aftershock (2010),Drama History,Small / Indie Studio,07,27806,144282882,7.825407501766907E7
Aftersun (2022),Drama,Mid-size Studio,08,65120,9218464,2.987223026492376E7
Against All Odds (1984),Action Adventure Crime Drama Romance Thriller,Major Studio,03,11372706,65495205,8.876350941397473E7
Agent Cody Banks (2003),Action Adventure Comedy Crime Family Romance Thriller,Major Studio,03,23982581,100259072,1.1052004303803726E8
Agent Cody Banks 2: Destination London (2004),Action Adventure Comedy Family Romance Sci-Fi,Major Studio,03,13309579,47862296,6.1484647480139725E7
Agneepath (2012),Action Crime Drama,Small / Indie Studio,01,1558222,35526251,6.318810454398544E7
Agnes of God (1985),Drama Mystery,Major Studio,09,646078,74734553,5.011413958299071E7
Agora (2009),Adventure Biography Drama History Romance,Small / Indie Studio,10,48634,57692615,5.267504157817069E7
Air (2023),Drama Sport,Streaming Platform,04,14882803,92717278,5.843033328623839E7
Air America (1990),Action Comedy War,Small / Indie Studio,08,19361294,80334192,1.0349419256362072E8
Air Bud (1997),Comedy Drama Family Sport,Major Studio,08,9533878,45229242,4.2322162176812686E7
Air Bud: Golden Receiver (1998),Comedy Family Sport,Mid-size Studio,08,5010507,19674885,2.6225149116400756E7
