movie_title,genres,distributor_group,release_month,domestic_opening_adjusted,total_gross_adjusted,prediction
A Minecraft Movie (2025),Action Adventure Comedy Family Fantasy,Major Studio,04,159429128,935642354,8.250282774409107E8
A Monster Calls (2016),Adventure Drama Family Fantasy Horror,Mid-size Studio,10,40398,61832667,7.423023135651684E7
A Month by the Lake (1995),Comedy Drama Romance,Mid-size Studio,09,208005,4325305,7.423023135651684E7
A Most Wanted Man (2014),Crime Drama Thriller,Mid-size Studio,07,3560684,48010864,7.423023135651684E7
A New Life (1988),Comedy,Major Studio,03,6644870,20482562,1.0230513515249611E8
A Night at the Roxbury (1998),Comedy Music Romance,Major Studio,10,18483080,58369201,1.1918938894301553E8
A Night in Heaven (1983),Drama Romance,Major Studio,11,5780655,17522745,1.0230513515249611E8
A Night in the Life of Jimmy Reardon (1988),Comedy Drama Romance,Major Studio,02,7260297,16615697,1.0230513515249611E8
A Nightmare on Elm Street (1984),Horror,Major Studio,11,3838082,78085830,1.0230513515249611E8
A Nightmare on Elm Street (2010),Crime Drama Horror Mystery,Major Studio,04,47331570,166433531,3.580774766722703E8
A Nightmare on Elm Street 2: Freddy's Revenge (1985),Horror,Major Studio,11,8356148,87482134,1.0230513515249611E8
A Nightmare on Elm Street 3: Dream Warriors (1987),Fantasy Horror,Major Studio,02,24518054,123668243,1.3432585785568565E8
A Nightmare on Elm Street 4: The Dream Master (1988),Horror,Major Studio,08,34041182,130955891,1.8811767221131817E8
A Nightmare on Elm Street: The Dream Child (1989),Fantasy Horror,Major Studio,08,20534400,56094156,1.2586544363579321E8
A Passage to India (1984),Adventure Drama History,Major Studio,12,255409,99669668,1.7706503250073737E8
A Perfect Getaway (2009),Drama Mystery Thriller,Major Studio,08,8697689,33564485,1.0230513515249611E8
A Perfect Murder (1998),Crime Drama Thriller,Major Studio,06,31974604,246391974,2.2084605303858957E8
A Perfect World (1993),Crime Drama Thriller,Major Studio,11,17535853,293432390,1.0797687046841025E8
A Prairie Home Companion (2006),Comedy Drama Music Romance Western,Small / Indie Studio,06,7105513,40437047,5.6153524138669536E7
A Prayer for the Dying (1987),Action Crime Drama Thriller,Small / Indie Studio,09,2434515,3955462,5.347921432260457E7
A Private Function (1984),Comedy,Small / Indie Studio,03,73875,7369362,5.347921432260457E7
A Quiet Place (2018),Drama Horror Sci-Fi,Major Studio,04,62714967,425925953,5.562638654581158E8
A Quiet Place Part II (2020),Drama Horror Sci-Fi Thriller,Major Studio,05,55043329,344254731,3.673415182844548E8
A Quiet Place: Day One (2024),Drama Horror Sci-Fi Thriller,Major Studio,06,52202495,261907653,3.7471077592707026E8
A Rage in Harlem (1991),Comedy Crime,Mid-size Studio,05,5661760,24043280,7.423023135651684E7
A Real Pain (2024),Comedy Drama,Mid-size Studio,11,228856,24856027,7.423023135651684E7
A River Runs Through It (1992),Drama,Major Studio,10,666808,97112214,1.0230513515249611E8
A Room with a View (1985),Drama Romance,Small / Indie Studio,03,122975,60287340,5.347921432260457E7
A Separation (2011),Drama,Small / Indie Studio,06,82949,31971551,5.6153524138669536E7
A Series of Unfortunate Events (2004),Adventure Comedy Family Fantasy,Major Studio,12,49926261,351204313,3.9368214482652855E8
A Serious Man (2009),Comedy Drama,Mid-size Studio,10,367493,45957840,7.423023135651684E7
A Shock to the System (1990),Comedy Crime Thriller,Small / Indie Studio,03,2405992,8203707,5.347921432260457E7
A Silent Voice: The Movie (2016),Animation Drama,Small / Indie Studio,09,159102,40280616,5.347921432260457E7
A Simple Favor (2018),Comedy Crime Mystery Thriller,Major Studio,09,20002018,121978973,1.2586544363579321E8
A Simple Plan (1998),Crime Drama Thriller,Major Studio,12,751584,31398391,1.1091726811391076E8
A Simple Twist of Fate (1994),Comedy Drama,Major Studio,09,2973112,7259931,1.0230513515249611E8
A Simple Wish (1997),Comedy Family Fantasy,Major Studio,07,5340625,16308003,1.0230513515249611E8
A Single Man (2009),Drama Romance Thriller,Small / Indie Studio,12,317772,36502453,5.6228458637633994E7
A Small Circle of Friends (1980),Drama,Major Studio,03,232609,2918638,1.0230513515249611E8
A Smile Like Yours (1997),Comedy Romance,Major Studio,08,2273873,6508212,1.0230513515249611E8
A Soldier's Daughter Never Cries (1998),Drama,Small / Indie Studio,09,76045,3429220,5.347921432260457E7
A Soldier's Story (1984),Crime Drama Mystery War,Major Studio,09,472235,65894670,1.0230513515249611E8
A Star Is Born (2018),Drama Music Romance,Major Studio,10,53601316,545198144,3.580774766722703E8
A Stranger Among Us (1992),Crime Drama Mystery Romance,Major Studio,07,6451932,27459039,1.0230513515249611E8
A Taxi Driver (2017),Action Drama History,Small / Indie Studio,08,424687,110381384,5.347921432260457E7
A Thin Line Between Love and Hate (1996),Comedy Crime Drama Romance Thriller,Major Studio,04,18620234,71197336,1.1918938894301553E8
A Thousand Acres (1997),Drama,Major Studio,09,5729282,15510145,1.0230513515249611E8
A Thousand Words (2012),Comedy Drama Fantasy,Major Studio,02,8884882,31711773,1.0230513515249611E8
A Time of Destiny (1988),Drama War,Major Studio,04,1351199,3216177,1.0230513515249611E8
A Time to Kill (1996),Crime Drama Thriller,Major Studio,07,29645373,304522306,1.9108335227991694E8
A Very Brady Sequel (1996),Comedy,Major Studio,08,14103640,42880137,1.0435819340089764E8
A Very Harold & Kumar Christmas (2011),Adventure Comedy,Major Studio,11,18065194,50472622,1.1918938894301553E8
A Very Long Engagement (2004),Drama Mystery Romance War,Small / Indie Studio,10,168984,115299325,5.347921432260457E7
A View to a Kill (1985),Action Adventure Thriller,Major Studio,05,31165202,146792252,2.473236009764058E8
A Walk Among the Tombstones (2014),Action Crime Drama Mystery Thriller,Major Studio,09,16905895,77957920,1.0797687046841025E8
A Walk in the Clouds (1995),Drama Romance,Major Studio,08,19610277,102946938,1.1918938894301553E8
A Walk in the Woods (2015),Adventure Biography Comedy Drama,Mid-size Studio,09,10913727,49579053,7.423023135651684E7
A Walk on the Moon (1999),Drama Romance,Mid-size Studio,03,148218,8946059,7.423023135651684E7
A Walk to Remember (2002),Drama Romance,Major Studio,01,21236136,82825663,1.2586544363579321E8
A Wedding Invitation (2013),Drama Romance,Small / Indie Studio,04,4286,41291703,5.347921432260457E7
A Working Man (2025),Action Thriller,Streaming Platform,03,15193548,86301446,7.990196667243096E7
A World Apart (1988),Drama,Small / Indie Studio,06,55213,6172101,5.6153524138669536E7
A Wrinkle in Time (2018),Adventure Drama Family Fantasy Sci-Fi,Major Studio,03,41378459,165740479,2.2404200421269616E8
A Writer's Odyssey (2021),Action Adventure Fantasy Mystery,Mid-size Studio,01,61378,173791136,7.423023135651684E7
A.I. Artificial Intelligence (2001),Adventure Drama Sci-Fi,Major Studio,06,51999924,417958017,3.7471077592707026E8
ATL (2006),Comedy Crime Drama Music Romance,Major Studio,03,17979567,32943072,1.1918938894301553E8
Abandon (2002),Drama Mystery Romance Thriller,Major Studio,10,8831167,21453653,1.0230513515249611E8
Abduction (2011),Action Drama Mystery Thriller,Major Studio,09,15235808,114474614,1.0797687046841025E8
Abigail (2024),Action Comedy Crime Horror Thriller,Major Studio,04,10297110,42791449,1.0230513515249611E8
Abominable (2019),Adventure Animation Comedy Family Fantasy,Major Studio,09,25290658,233500367,1.742977914137607E8
About Last Night (1986),Comedy Drama Romance,Small / Indie Studio,07,9021969,110761132,5.347921432260457E7
About Last Night (2014),Comedy Romance,Small / Indie Studio,02,33985969,66842789,2.005326802713268E8
About My Father (2023),Comedy,Major Studio,05,4448641,18703850,1.0230513515249611E8
About Schmidt (2002),Drama,Major Studio,03,492416,184563275,1.0230513515249611E8
About Time (2013),Comedy Drama Fantasy Romance Sci-Fi,Major Studio,09,1449214,117284657,1.0230513515249611E8
About a Boy (2002),Comedy Drama Romance,Major Studio,04,14923521,227663212,1.0797687046841025E8
Above the Law (1988),Action Crime Drama Mystery Thriller,Major Studio,04,5405723,50052550,1.0230513515249611E8
Above the Rim (1994),Crime Drama Sport Thriller,Major Studio,03,7912192,34266807,1.0230513515249611E8
Abraham Lincoln: Vampire Hunter (2012),Action Fantasy Horror,Major Studio,06,22280303,159135720,1.631527515275634E8
Absence of Malice (1981),Drama Romance Thriller,Major Studio,11,336968,140480688,1.0230513515249611E8
Absolute Beginners (1986),Drama Musical Romance,Mid-size Studio,04,239662,2662147,7.423023135651684E7
Absolute Power (1997),Action Crime Drama Thriller,Major Studio,02,28683945,97844058,1.8577665640240195E8
Absolutely Fabulous: The Movie (2016),Comedy Crime,Major Studio,07,2432457,51258874,1.0230513515249611E8
Accepted (2006),Comedy,Major Studio,08,15597881,60100853,1.0797687046841025E8
Ace Ventura: Pet Detective (1994),Comedy,Major Studio,02,25638449,226897558,1.6943211214590883E8
Ace Ventura: When Nature Calls (1995),Adventure Comedy Crime,Major Studio,11,77823603,437217600,5.682912976488168E8
Aces: Iron Eagle III (1992),Action,Major Studio,06,2107692,5628178,1.3821043868913203E8
Acharya (2022),Action Drama,Small / Indie Studio,04,891816,8626797,5.64837298802522E7
Acrimony (2018),Drama Horror Romance Thriller,Major Studio,03,21449879,57968089,1.2586544363579321E8
Across the Universe (2007),Drama Fantasy History Music Musical Romance,Small / Indie Studio,09,1010308,44821573,5.347921432260457E7
Act of Valor (2012),Action Adventure Thriller War,Small / Indie Studio,02,33442548,112719354,2.005326802713268E8
Action Jackson (1988),Action Comedy Crime Thriller,Small / Indie Studio,02,14389482,53732543,5.730209283636898E7
Ad Astra (2019),Adventure Drama Mystery Sci-Fi Thriller,Major Studio,09,23314357,156393314,1.3432585785568565E8
Adaptation. (2002),Comedy Drama,Major Studio,12,670485,57203677,1.1091726811391076E8
Addams Family Values (1993),Comedy Fantasy,Major Studio,11,30655771,106226046,1.8577665640240195E8
Addicted to Love (1997),Comedy Romance,Major Studio,05,22368094,67758555,1.3432585785568565E8
Adrift (2018),Action Adventure Biography Drama Romance Thriller,Mid-size Studio,05,14494673,74884118,7.628328960491836E7
Adventures in Babysitting (1987),Adventure Comedy Crime Romance,Major Studio,07,8010103,94886877,1.0230513515249611E8
Ae Dil Hai Mushkil (2016),Drama Musical Romance,Small / Indie Studio,10,2862357,41390873,5.64837298802522E7
Affliction (1997),Drama Mystery Thriller,Major Studio,12,123119,12181306,1.1091726811391076E8
Afraid (2024),Horror Mystery Sci-Fi Thriller,Major Studio,08,3665664,12977758,1.0230513515249611E8
African Cats (2010),Adventure Documentary,Major Studio,04,8371761,43032661,1.0230513515249611E8
After (2019),Drama Romance,Small / Indie Studio,03,7364769,85272229,5.347921432260457E7
"After Dark, My Sweet (1990)",Crime Drama Mystery Thriller,Small / Indie Studio,08,588004,6430367,5.347921432260457E7
After Death (2023),Documentary,Small / Indie Studio,10,5201005,12179923,5.347921432260457E7
After Earth (2013),Action Adventure Sci-Fi,Major Studio,05,37056840,328033322,3.047321787683624E8
After Ever Happy (2022),Drama Romance,Small / Indie Studio,08,123260,20621190,5.347921432260457E7
After Hours (1985),Comedy Crime Drama Thriller,Major Studio,09,132495,31003957,1.0230513515249611E8
After We Collided (2020),Drama Romance,Mid-size Studio,09,512574,58166659,7.423023135651684E7
After We Fell (2021),Drama Romance,Small / Indie Studio,09,493690,25183303,5.347921432260457E7
After the Sunset (2004),Action Comedy Crime Drama,Major Studio,11,19099084,104061556,1.1918938894301553E8
Afterglow (1997),Comedy Drama Romance,Small / Indie Studio,12,97812,4819007,5.6228458637633994E7
Aftershock (2010),Drama History,Small / Indie Studio,07,27806,144282882,5.347921432260457E7
Aftersun (2022),Drama,Mid-size Studio,08,65120,9218464,7.423023135651684E7
Against All Odds (1984),Action Adventure Crime Drama Romance Thriller,Major Studio,03,11372706,65495205,1.0230513515249611E8
Agent Cody Banks (2003),Action Adventure Comedy Crime Family Romance Thriller,Major Studio,03,23982581,100259072,1.3432585785568565E8
Agent Cody Banks 2: Destination London (2004),Action Adventure Comedy Family Romance Sci-Fi,Major Studio,03,13309579,47862296,1.0435819340089764E8
Agneepath (2012),Action Crime Drama,Small / Indie Studio,01,1558222,35526251,5.64837298802522E7
Agnes of God (1985),Drama Mystery,Major Studio,09,646078,74734553,1.0230513515249611E8
Agora (2009),Adventure Biography Drama History Romance,Small / Indie Studio,10,48634,57692615,5.347921432260457E7
Air (2023),Drama Sport,Streaming Platform,04,14882803,92717278,7.990196667243096E7
Air America (1990),Action Comedy War,Small / Indie Studio,08,19361294,80334192,6.838302874799144E7
Air Bud (1997),Comedy Drama Family Sport,Major Studio,08,9533878,45229242,1.0230513515249611E8
